(['西藏', '发展'], 216)
(['工作', '群众'], 200)
(['西藏', '文化'], 199)
(['西藏', '工作'], 184)
(['西藏', '拉萨'], 175)
(['西藏', '活动'], 166)
(['活动', '群众'], 156)
(['活动', '宣传'], 152)
(['西藏', '中国'], 137)
(['工作', '安全'], 133)
(['西藏', '建设'], 130)
(['西藏', '旅游'], 127)
(['工作', '人员'], 123)
(['工作', '拉萨市'], 120)
(['工作', '建设'], 118)
(['交通', '道路'], 116)
(['安全', '交通'], 112)
(['拉萨', '拉萨市'], 110)
(['建设', '项目'], 105)
(['高校', '毕业生'], 102)
(['工作', '活动'], 101)
(['建设', '工程'], 101)
(['工作', '服务'], 101)
(['旅游', '游客'], 100)
(['拉萨', '旅客'], 100)
(['工作', '自治区'], 99)
(['安全', '食品'], 86)
(['活动', '教育'], 85)
(['安全', '检查'], 85)
(['就业', '毕业生'], 84)
(['群众', '宣传'], 82)
(['医院', '人民'], 82)
(['建设', '发展'], 81)
(['西藏', '大学'], 81)
(['文化', '旅游'], 80)
(['医院', '医疗'], 79)
(['西藏', '教育'], 78)
(['就业', '高校'], 78)
(['工作', '宣传'], 76)
(['交通', '车辆'], 76)
(['工作', '干部'], 76)
(['工作', '拉萨'], 75)
(['发展', '产业'], 74)
(['交通', '违法'], 74)
(['西藏', '西藏自治区'], 73)
(['西藏', '项目'], 72)
(['西藏', '群众'], 71)
(['高校', '就业', '毕业生'], 71)
(['工作', '地区'], 71)
(['工作', '发展'], 70)
(['建设', '生态'], 70)
(['工作', '社会'], 70)
(['工作', '管理'], 69)
(['地区', '山南'], 69)
(['拉萨', '旅游'], 68)
(['西藏', '自治区'], 67)
(['警务', '便民'], 67)
(['西藏', '游客'], 66)
(['地区', '林芝'], 66)
(['西藏', '工程'], 64)
(['西藏', '生活'], 63)
(['地区', '阿里'], 63)
(['西藏', '援藏'], 62)
(['西藏', '地区'], 62)
(['工作', '教育'], 61)
(['群众', '服务'], 61)
(['工作', '案件'], 61)
(['交通', '公路'], 60)
(['发展', '文化'], 60)
(['西藏', '人民'], 60)
(['西藏', '服务'], 60)
(['西藏', '保护'], 59)
(['拉萨市', '交通'], 58)
(['西藏', '生态'], 58)
(['群众', '工作队'], 58)
(['拉萨', '活动'], 57)
(['活动', '文化'], 57)
(['安全', '道路'], 57)
(['拉萨', '铁路'], 57)
(['民警', '警务'], 57)
(['工作', '民警'], 56)
(['违法', '行为'], 55)
(['拉萨', '城市'], 55)
(['群众', '干部'], 55)
(['建设', '地区'], 55)
(['活动', '安全'], 54)
(['发展', '旅游'], 54)
(['西藏', '高原'], 54)
(['安全', '火灾'], 54)
(['文化', '中国'], 53)
(['地区', '那曲'], 53)
(['安全', '生产'], 53)
(['群众', '教育'], 52)
(['西藏', '民族'], 52)
(['西藏', '企业'], 52)
(['法律', '援助'], 52)
(['活动', '服务'], 51)
(['工作', '援藏'], 51)
(['西藏', '社会'], 51)
(['旅客', '列车'], 51)
(['安全', '宣传'], 50)
(['拉萨市', '安全'], 50)
(['宣传', '法律'], 50)
(['地区', '日喀则'], 50)
(['服务', '医疗'], 50)
(['工作', '进行'], 49)
(['拉萨市', '建设'], 49)
(['公安', '机关'], 49)
(['西藏', '就业'], 49)
(['工作', '检查'], 48)
(['旅游', '景区'], 48)
(['西藏', '记者'], 48)
(['医院', '援藏'], 48)
(['拉萨', '列车'], 48)
(['交通', '安全', '道路'], 47)
(['项目', '工程'], 47)
(['旅客', '铁路'], 47)
(['拉萨', '火车站'], 47)
(['教育', '宣传'], 46)
(['建设', '文化'], 46)
(['拉萨', '游客'], 46)
(['交通', '行为'], 46)
(['西藏', '农牧民'], 46)
(['建设', '公路'], 45)
(['工作', '项目'], 45)
(['地区', '昌都'], 45)
(['工作', '基层'], 45)
(['拉萨市', '旅游'], 44)
(['拉萨市', '企业'], 44)
(['拉萨市', '服务'], 44)
(['工作', '会议'], 44)
(['干部', '党员'], 44)
(['拉萨', '文化'], 43)
(['拉萨市', '城市'], 43)
(['干部', '援藏'], 43)
(['工作', '单位'], 43)
(['拉萨', '记者'], 42)
(['工作', '法律'], 42)
(['工作', '公安'], 42)
(['医院', '手术'], 42)
(['工作', '工作队'], 42)
(['宣传', '法制'], 42)
(['工作', '全区'], 41)
(['安全', '人员'], 41)
(['就业', '培训'], 41)
(['工作', '培训'], 41)
(['西藏', '产业'], 40)
(['活动', '旅游'], 40)
(['群众', '人民'], 40)
(['活动', '法律'], 40)
(['保护', '生态'], 40)
(['西藏', '医院'], 40)
(['旅客', '火车站'], 40)
(['拉萨', '交通'], 39)
(['西藏', '艺术'], 39)
(['医疗', '卫生'], 39)
(['西藏', '高校'], 39)
(['西藏', '毕业生'], 39)
(['西藏', '作品'], 39)
(['工作', '党员'], 39)
(['活动', '群众', '宣传'], 38)
(['地区', '天气'], 38)
(['车辆', '道路'], 38)
(['拉萨', '建设'], 38)
(['拉萨市', '项目'], 38)
(['安全', '车辆'], 38)
(['人员', '执法'], 38)
(['工作', '部门'], 38)
(['安全', '单位'], 38)
(['工作', '问题'], 38)
(['发展', '社会'], 38)
(['西藏', '干部'], 38)
(['案件', '法院'], 38)
(['工作', '交通'], 37)
(['拉萨', '工程'], 37)
(['活动', '拉萨市'], 37)
(['西藏', '唐卡'], 37)
(['群众', '农牧民'], 37)
(['工作', '就业'], 37)
(['工作', '精神'], 37)
(['发展', '地区'], 37)
(['西藏', '航空'], 37)
(['西藏', '电网'], 37)
(['拉萨市', '支队'], 37)
(['群众', '党员'], 37)
(['民警', '便民'], 37)
(['西藏', '学生'], 36)
(['文化', '产业'], 36)
(['工作', '社区'], 36)
(['工程', '施工'], 36)
(['拉萨', '发展'], 36)
(['西藏', '产品'], 36)
(['医疗', '援藏'], 36)
(['拉萨', '旅客', '火车站'], 36)
(['活动', '党员'], 36)
(['人员', '进行'], 35)
(['违法', '交通', '行为'], 35)
(['西藏', '人员'], 35)
(['考生', '考试'], 35)
(['群众', '发展'], 35)
(['考生', '招生'], 35)
(['学生', '学校'], 35)
(['群众', '社会'], 35)
(['就业', '岗位'], 35)
(['医院', '患者'], 35)
(['精神', '十八大'], 35)
(['旅游', '西藏', '游客'], 34)
(['游客', '布达拉宫'], 34)
(['人员', '检查'], 34)
(['文化', '遗产'], 34)
(['拉萨市', '发展'], 34)
(['交通', '路段'], 34)
(['拉萨', '旅客', '列车'], 34)
(['旅客', '春运'], 34)
(['毒品', '禁毒'], 34)
(['活动', '中国'], 33)
(['进行', '检查'], 33)
(['西藏', '登山'], 33)
(['西藏', '航线'], 33)
(['工作', '保护'], 33)
(['文化', '项目'], 33)
(['拉萨', '市民'], 33)
(['服务', '卫生'], 33)
