(['西藏', '文化'], 207)
(['毕业生', '高校'], 153)
(['就业', '毕业生'], 133)
(['西藏', '大学'], 119)
(['就业', '高校'], 112)
(['西藏', '工作'], 110)
(['毕业生', '就业', '高校'], 107)
(['学生', '学校'], 101)
(['西藏', '中国'], 97)
(['西藏', '拉萨'], 97)
(['考试', '考生'], 90)
(['西藏', '艺术'], 89)
(['西藏', '藏族'], 88)
(['西藏', '民族'], 88)
(['西藏', '学生'], 87)
(['西藏', '发展'], 83)
(['学生', '教育'], 81)
(['文化', '艺术'], 79)
(['文化', '藏族'], 79)
(['西藏', '唐卡'], 78)
(['艺术', '唐卡'], 77)
(['西藏', '教育'], 77)
(['工作', '教育'], 76)
(['文化', '民族'], 74)
(['学生', '活动'], 72)
(['教育', '教师'], 72)
(['西藏', '佛教'], 67)
(['西藏', '毕业生'], 67)
(['教育', '学校'], 61)
(['西藏', '活动'], 60)
(['学生', '老师'], 60)
(['西藏', '历史'], 60)
(['就业', '创业'], 59)
(['文化', '唐卡'], 57)
(['文化', '传统'], 56)
(['西藏', '高校'], 56)
(['教育', '发展'], 52)
(['西藏', '研究'], 52)
(['西藏', '就业'], 51)
(['教育', '活动'], 50)
(['文化', '佛教'], 48)
(['高校', '创业'], 48)
(['西藏', '作品'], 46)
(['毕业生', '创业'], 46)
(['工作', '就业'], 46)
(['西藏', '学校'], 45)
(['工作', '学生'], 44)
(['佛教', '宗教'], 44)
(['藏族', '佛教'], 44)
(['教师', '教学'], 43)
(['工作', '学校'], 42)
(['考生', '招生'], 42)
(['西藏', '生活'], 41)
(['研究', '藏学'], 41)
(['工作', '人员'], 41)
(['高校', '毕业生', '创业'], 41)
(['西藏', '毕业生', '高校'], 41)
(['拉萨', '活动'], 40)
(['文化', '保护'], 40)
(['西藏', '学院'], 40)
(['西藏', '就业', '毕业生'], 40)
(['文化', '中国'], 39)
(['文化', '遗产'], 39)
(['就业', '招聘会'], 39)
(['学生', '中学'], 39)
(['西藏', '高原'], 38)
(['学生', '孩子'], 38)
(['佛教', '寺院'], 38)
(['考生', '高考'], 38)
(['就业', '毕业生', '创业'], 38)
(['藏族', '民族'], 37)
(['教育', '教学'], 37)
(['文化', '活动'], 36)
(['工作', '考试'], 36)
(['西藏', '地区'], 36)
(['西藏班', '内地'], 36)
(['就业', '高校', '创业'], 35)
(['工作', '毕业生'], 35)
(['就业', '岗位'], 35)
(['文化', '拉萨'], 34)
(['高校', '就业', '毕业生', '创业'], 34)
(['工作', '高校'], 34)
(['拉萨', '中学'], 34)
(['西藏', '专业'], 33)
(['西藏', '援藏'], 33)
(['毕业生', '招聘会'], 33)
(['文化', '发展'], 32)
(['学生', '拉萨'], 32)
(['文化', '西藏', '艺术'], 32)
(['文化', '旅游'], 32)
(['西藏', '内地'], 32)
(['学生', '教师'], 32)
(['孩子', '家长'], 32)
(['西藏', '就业', '高校'], 32)
(['文化', '项目'], 31)
(['就业', '培训'], 31)
(['工作', '拉萨市'], 31)
(['教育', '建设'], 31)
(['学校', '教师'], 31)
(['毕业生', '西藏', '就业', '高校'], 31)
(['西藏', '传统'], 30)
(['唐卡', '绘画'], 30)
(['文化', '非物质'], 30)
(['西藏', '西藏自治区'], 30)
(['学生', '大学'], 30)
(['艺术', '作品'], 29)
(['艺术', '西藏', '唐卡'], 29)
(['西藏', '藏文'], 29)
(['西藏', '宗教'], 29)
(['学生', '西藏班'], 29)
(['毕业生', '岗位'], 29)
(['民族', '中国'], 28)
